Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option 1 Name,Option 1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
ismat-chughtai-kay-shahkar-afsanay,Ismat Chughtai Kay Shahkar Afsanay,<p><strong>Book Title:</strong> Ismat Chughtai Kay Shahkar Afsanay</p><p><strong>Urdu Title:</strong> عصمت چغتائی کے شاہکار افسانے</p><p><strong>Author:</strong> Ismat Chughtai</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Ismat Chughtai,,Books,"Urdu Books, Short Stories, Urdu Literature",true,Title,Default Title,KW-ISM-0011,400,shopify,100,deny,manual,950,1200,true,false,,https://media.bookcorner.shop/uploads/5c52df7b78fc21548935035.jpg,1,Ismat Chughtai Kay Shahkar Afsanay,false,,,,,g,,,,,active
jo-bichar-gaye,Jo Bichar Gaye,<p><strong>Book Title:</strong> Jo Bichar Gaye</p><p><strong>Urdu Title:</strong> جو بچھڑ گئے</p><p><strong>Author:</strong> Irfan Siddiqui</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Irfan Siddiqui,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-IRF-0012,400,shopify,100,deny,manual,800,1000,true,false,,https://media.bookcorner.shop/uploads/5c4eefe0cf69e1548677088.jpg,1,Jo Bichar Gaye,false,,,,,g,,,,,active
kahani-sans-leti-hai,Kahani Sans Leti Hai,<p><strong>Book Title:</strong> Kahani Sans Leti Hai</p><p><strong>Urdu Title:</strong> کہانی سانس لیتی ہے</p><p><strong>Author:</strong> Gul Sher Butt</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Gul Sher Butt,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-GUL-0013,400,shopify,100,deny,manual,600,750,true,false,,https://media.bookcorner.shop/uploads/109.jpg,1,Kahani Sans Leti Hai,false,,,,,g,,,,,active
kala-pani,Kala Pani,<p><strong>Book Title:</strong> Kala Pani</p><p><strong>Urdu Title:</strong> کالا پانی</p><p><strong>Author:</strong> Maulana Muhammad Jafar Thaneesri</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Maulana Muhammad Jafar Thaneesri,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-MAU-0014,400,shopify,100,deny,manual,500,600,true,false,,https://media.bookcorner.shop/uploads/61837ab8a51651636006584.jpg,1,Kala Pani,false,,,,,g,,,,,active
kitabain-bolti-hain,Kitabain Bolti Hain,<p><strong>Book Title:</strong> Kitabain Bolti Hain</p><p><strong>Urdu Title:</strong> کتابیں بولتی ہیں</p><p><strong>Author:</strong> Raza ul Haq Siddiqui</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Raza ul Haq Siddiqui,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-RAZ-0015,400,shopify,100,deny,manual,600,750,true,false,,https://media.bookcorner.shop/uploads/118.jpg,1,Kitabain Bolti Hain,false,,,,,g,,,,,active
kulyat-bedam-warsi-1,Kulyat Bedam Warsi,<p><strong>Book Title:</strong> Kulyat Bedam Warsi</p><p><strong>Urdu Title:</strong> کلیات بیدم وارثی</p><p><strong>Author:</strong> Hazrat Bedam Shah Warsi</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Hazrat Bedam Shah Warsi,,Books,"Urdu Books, Poetry, Urdu Literature",true,Title,Default Title,KW-HAZ-0016,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/5e0896b9504d71577621177.jpg,1,Kulyat Bedam Warsi,false,,,,,g,,,,,active
kulyat-mubarak,Kulyat Syed Mubarak Shah,<p><strong>Book Title:</strong> Kulyat Syed Mubarak Shah</p><p><strong>Urdu Title:</strong> کلیات سید مبارک شاہ</p><p><strong>Author:</strong> Syed Mubarak Shah</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Syed Mubarak Shah,,Books,"Urdu Books, Poetry, Urdu Literature",true,Title,Default Title,KW-SYE-0017,400,shopify,100,deny,manual,2000,2500,true,false,,https://media.bookcorner.shop/uploads/60c9d7ac3e2bb1623840684.jpg,1,Kulyat Syed Mubarak Shah,false,,,,,g,,,,,active
malbay-say-mili-cheezain,Malbay Say Mili Cheezain,<p><strong>Book Title:</strong> Malbay Say Mili Cheezain</p><p><strong>Urdu Title:</strong> ملبے سے ملی چیزیں</p><p><strong>Author:</strong> Naseer Ahmed Nasir</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Naseer Ahmed Nasir,,Books,"Urdu Books, Poetry, Urdu Literature",true,Title,Default Title,KW-NAS-0018,400,shopify,100,deny,manual,600,750,true,false,,https://media.bookcorner.shop/uploads/5c4ecd3e00c581548668222.jpg,1,Malbay Say Mili Cheezain,false,,,,,g,,,,,active
manto-mutnaza,Manto Kay Mutnaza Afsanay,<p><strong>Book Title:</strong> Manto Kay Mutnaza Afsanay</p><p><strong>Urdu Title:</strong> منٹو کے متنازع افسانے</p><p><strong>Author:</strong> Saadat Hassan Manto</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Saadat Hassan Manto,,Books,"Urdu Books, Short Stories, Urdu Literature",true,Title,Default Title,KW-SAA-0019,400,shopify,100,deny,manual,1200,1500,true,false,,https://media.bookcorner.shop/uploads/5c5fe794ccfc31549789076.jpg,1,Manto Kay Mutnaza Afsanay,false,,,,,g,,,,,active
manto-kay-mutnaza-afsanay-premium-quality,Manto Kay Mutnaza Afsanay (Premium Quality),<p><strong>Book Title:</strong> Manto Kay Mutnaza Afsanay (Premium Quality)</p><p><strong>Urdu Title:</strong> منٹو کے متنازع افسانے (ڈیلکس)</p><p><strong>Author:</strong> Saadat Hassan Manto</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Saadat Hassan Manto,,Books,"Urdu Books, Short Stories, Urdu Literature",true,Title,Default Title,KW-SAA-0020,400,shopify,100,deny,manual,2000,2500,true,false,,https://media.bookcorner.shop/uploads/610ea00db0e791628348429.jpg,1,Manto Kay Mutnaza Afsanay (Premium Quality),false,,,,,g,,,,,active
